id,number,gender,nation,academy,profession,class,skill_type,skill_level,award_name,award_date,note
9736,201821020074,女,汉族,经济学院,国际商务,国商1802,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-17,暂无数据
9737,201721040538,女,汉族,法学院,法学,民商1701,计算机水平类,中级,全国计算机等级考试(1-4),2018-09-30,暂无数据
9738,201721050098,女,汉族,刑事司法学院,法学（司）,司法1701,职业证书类,中级,普通话水平测试等级,2018-12-06,暂无数据
9739,1602010303,女,汉族,经济学院,经济学,经济1603,职业证书类,中级,教师资格考试,2019-05-31,暂无数据
9740,201721120209,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,外语水平类,初级,全国大学英语四级考试,2018-12-05,暂无数据
9741,201721040796,女,土家族,刑事司法学院,法学（司）,司法1701,外语水平类,初级,全国大学英语四级考试,2018-09-08,暂无数据
9742,201721140228,女,土家族,经济学院,国际商务（中法）,国商1703,职业证书类,中级,普通话水平测试等级,2018-11-22,暂无数据
9743,201721060080,女,汉族,工商管理学院,国际经济与贸易,国贸1701,计算机水平类,中级,全国计算机等级考试(1-4),2018-11-02,暂无数据
9744,201721050080,男,汉族,刑事司法学院,侦查学,职侦1701,外语水平类,初级,全国大学英语四级考试,2018-12-12,暂无数据
9745,201721030252,女,汉族,金融学院,金融学（CFA）,CFA1701,外语水平类,中级,全国大学英语六级考试,2019-08-08,暂无数据
9746,201721060080,女,汉族,工商管理学院,国际经济与贸易,国贸1701,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9747,201821100141,女,汉族,金融学院,金融学类,金融1805,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-17,暂无数据
9748,201821030383,女,汉族,金融学院,金融学（CFA）,CFA1801,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-30,暂无数据
9749,1608020329,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,外语水平类,中级,全国大学英语六级考试,2019-09-05,暂无数据
9750,201721030449,女,汉族,金融学院,金融学,金融1702,外语水平类,中级,全国大学英语六级考试,2019-06-15,暂无数据
9751,201721040451,女,汉族,法学院,法学,法1705,外语水平类,初级,全国大学英语四级考试,2019-03-01,暂无数据
9752,201721040355,女,汉族,法学院,法学,法1710,外语水平类,中级,全国大学英语六级考试,2019-06-30,暂无数据
9753,201721080150,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
9754,201721030419,男,汉族,金融学院,金融学（CFA）,CFA1701,职业证书类,初级,基金从业资格考试,2019-09-01,暂无数据
9755,201721030122,女,汉族,金融学院,金融学,金融1702,职业证书类,初级,证券从业人员资格考试,2019-09-02,暂无数据
9756,201721110295,女,汉族,外国语学院,商务英语,商英1703,外语水平类,中级,全国大学英语六级考试,2018-12-08,暂无数据
9757,201721110112,女,汉族,外国语学院,英语,英语1703,外语水平类,中级,全国大学英语六级考试,2019-02-26,暂无数据
9758,201721020095,女,壮族,经济学院,国际商务,国商1702,职业证书类,高级,普通话水平测试等级,2018-11-05,暂无数据
9759,201721040169,男,汉族,文澜学院,经济管理试验班,经管1702,外语水平类,高级,托福英语水平考试(TOEFL),2019-04-29,暂无数据
9760,201721140009,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1701,外语水平类,初级,全国大学英语四级考试,2019-03-07,暂无数据
9761,201721070109,女,汉族,财政税务学院,税收学,税务1703,计算机水平类,中级,全国计算机等级考试(1-4),2018-10-08,暂无数据
